,ADMM_Method.ADMMLoopNum,ADMM_Method.OptimInnerLoopNum,ADMM_Method.kernel_size,ADMM_Method.lamda,ADMM_Method.sigma,Arch.name,DSC0,DSC1,Optim.lr,Trainer.max_epoch,gc,save_dir
0,1,0,3,0.1,0.001,dummy,0.9937542080879211,0.037730421870946884,0,1,0.7181119322776794,runs/LV_prior/GC_SEARCH/NXZQCXLG
1,1,0,3,0.1,1e-05,dummy,0.0018652131548151374,0.01973493956029415,0,1,0.7047054171562195,runs/LV_prior/GC_SEARCH/CRY6T6LM
2,1,0,3,10.0,0.001,dummy,0.9949550628662109,2.2750208834854124e-12,0,1,0.7657645344734192,runs/LV_prior/GC_SEARCH/460WK54I
3,1,0,5,0.0,0.0001,dummy,0.40347281098365784,0.01894771307706833,0,1,0.7016711235046387,runs/LV_prior/GC_SEARCH/2EAAOO5N
4,1,0,7,0.1,1e-05,dummy,0.820461094379425,0.028839988633990288,0,1,0.7241500616073608,runs/LV_prior/GC_SEARCH/6XESUVPW
5,1,0,3,10.0,0.0001,dummy,0.4999268651008606,0.015136110596358776,0,1,0.7719457745552063,runs/LV_prior/GC_SEARCH/LUE5FKQP
6,1,0,5,100.0,0.01,dummy,0.6254626512527466,0.024854717776179314,0,1,0.6739259958267212,runs/LV_prior/GC_SEARCH/LAOE3PCJ
7,1,0,7,100.0,1e-05,dummy,0.6381247043609619,0.024897227063775063,0,1,0.7823498249053955,runs/LV_prior/GC_SEARCH/8AZOS5W0
8,1,0,3,0.1,0.01,dummy,0.39420124888420105,0.01958576776087284,0,1,0.7154198884963989,runs/LV_prior/GC_SEARCH/DXP8NLHR
9,1,0,5,100.0,0.001,dummy,0.6644938588142395,0.019518105313181877,0,1,0.7603159546852112,runs/LV_prior/GC_SEARCH/2VEAX2QR
10,1,0,3,0.1,0.0001,dummy,0.8361391425132751,0.01997043378651142,0,1,0.7106278538703918,runs/LV_prior/GC_SEARCH/SKBDATCT
11,1,0,7,10.0,0.01,dummy,0.7632667422294617,0.025784457102417946,0,1,0.6795361042022705,runs/LV_prior/GC_SEARCH/W4QR0CX3
12,1,0,3,100.0,0.01,dummy,0.6670619249343872,0.01764204353094101,0,1,0.6254106163978577,runs/LV_prior/GC_SEARCH/GTYZHE8X
13,1,0,5,10.0,0.0001,dummy,0.4687301218509674,0.01528427004814148,0,1,0.7932212948799133,runs/LV_prior/GC_SEARCH/1T190FNO
14,1,0,5,0.1,0.001,dummy,0.9907360076904297,0.07332195341587067,0,1,0.7388159036636353,runs/LV_prior/GC_SEARCH/NICUO9ZW
15,1,0,3,0.1,0.001,dummy,0.4150570034980774,0.01650555431842804,0,1,0.7181118726730347,runs/LV_prior/GC_SEARCH/VS7YR6N0
16,1,0,5,100.0,0.001,dummy,0.9661043286323547,0.09522784501314163,0,1,0.7603158354759216,runs/LV_prior/GC_SEARCH/XB36XM6M
17,1,0,3,100.0,1e-05,dummy,0.8534199595451355,0.019059954211115837,0,1,0.731773316860199,runs/LV_prior/GC_SEARCH/DLCY5YDM
18,1,0,3,100.0,0.0001,dummy,0.8544794917106628,0.01934569887816906,0,1,0.7955607771873474,runs/LV_prior/GC_SEARCH/CPG1D7WY
19,1,0,3,0.0,0.001,dummy,0.2096008062362671,0.012579599395394325,0,1,0.7016711831092834,runs/LV_prior/GC_SEARCH/BSJWUX75
20,1,0,5,10.0,0.01,dummy,0.650990903377533,0.021061332896351814,0,1,0.6743084788322449,runs/LV_prior/GC_SEARCH/08Y8TGRC
21,1,0,5,0.1,0.01,dummy,0.42142850160598755,0.016552628949284554,0,1,0.6829209923744202,runs/LV_prior/GC_SEARCH/H2I2PX9H
22,1,0,5,100.0,0.0001,dummy,0.44984862208366394,0.015582394786179066,0,1,0.7957906126976013,runs/LV_prior/GC_SEARCH/JHTW9DKV
23,1,0,7,10.0,1e-05,dummy,0.5139185786247253,0.010961798951029778,0,1,0.7778544425964355,runs/LV_prior/GC_SEARCH/XXMV1GC1
