,DSC1
0,0.022606056183576584
1,0.019804133102297783
2,0.008918045088648796
3,0.005338048562407494
4,0.005862177349627018
5,0.0030626587104052305
6,0.0004514993925113231
7,2.1106781787239015e-05
8,2.6582581622025536e-12
9,2.6582607642877676e-12
10,2.658260981128202e-12
11,2.658260547447333e-12
12,2.6582603306068986e-12
13,2.658260981128202e-12
14,2.658260547447333e-12
15,2.6582607642877676e-12
16,2.658260981128202e-12
17,2.6582607642877676e-12
18,2.658260981128202e-12
19,2.658260981128202e-12
20,2.658260981128202e-12
21,2.6582611979686366e-12
22,2.658260981128202e-12
23,2.6582603306068986e-12
24,2.6582603306068986e-12
25,2.6582607642877676e-12
26,2.6582607642877676e-12
27,2.6582611979686366e-12
28,1.8659936813492095e-06
29,2.6582611979686366e-12
30,2.6582603306068986e-12
31,2.658260547447333e-12
32,2.6582607642877676e-12
33,2.6582603306068986e-12
34,2.658260981128202e-12
35,2.658260981128202e-12
36,2.658260547447333e-12
37,2.658260981128202e-12
38,2.6582607642877676e-12
39,2.658260981128202e-12
40,2.6582607642877676e-12
41,2.658260981128202e-12
42,2.658260547447333e-12
43,2.658260547447333e-12
44,2.6582603306068986e-12
45,2.6582607642877676e-12
46,2.658260547447333e-12
47,2.6582603306068986e-12
48,2.6582607642877676e-12
49,2.658260547447333e-12
50,2.6582607642877676e-12
51,2.6582607642877676e-12
52,2.658260547447333e-12
53,2.6582603306068986e-12
54,2.6582607642877676e-12
55,2.6582607642877676e-12
56,2.658260981128202e-12
57,2.658260981128202e-12
58,2.658260547447333e-12
59,2.6582603306068986e-12
60,2.6582607642877676e-12
61,2.6582607642877676e-12
62,2.6582607642877676e-12
63,2.658260981128202e-12
64,2.658260113766464e-12
65,0.16758204996585846
66,0.7893865704536438
67,0.7951624989509583
68,0.782654881477356
69,0.7984825372695923
70,0.8104171752929688
71,0.81522536277771
72,0.813949704170227
73,0.8192857503890991
74,0.8061298131942749
75,0.8042374849319458
76,0.8240463733673096
77,0.8256256580352783
78,0.8225592970848083
79,0.8247157335281372
80,0.8192955851554871
81,0.824224054813385
82,0.8214290142059326
83,0.822579026222229
84,0.8245906233787537
85,0.8226101398468018
86,0.823926568031311
87,0.8177939653396606
88,0.8224565982818604
89,0.8229987621307373
90,0.8264257907867432
91,0.8244606852531433
92,0.8252904415130615
93,0.8252794742584229
94,0.828166127204895
95,0.8218696713447571
96,0.8224670886993408
97,0.8234084844589233
98,0.8243808150291443
99,0.8165394067764282
100,0.7863318920135498
101,0.8226491212844849
102,0.8243224620819092
103,0.82658851146698
104,0.8242441415786743
105,0.82728111743927
106,0.8260892629623413
107,0.8274627327919006
108,0.827559769153595
109,0.8251748085021973
110,0.826561689376831
111,0.8273383975028992
112,0.8250097036361694
113,0.8238109350204468
114,0.8236395716667175
115,0.7938036322593689
116,0.8163582682609558
117,0.8217747807502747
118,0.8216436505317688
119,0.8242024779319763
120,0.8131507635116577
121,0.8218596577644348
122,0.8226113319396973
123,0.8264977931976318
124,0.8251557350158691
125,0.8253642916679382
126,0.8262209892272949
127,0.8254774808883667
128,0.8262245655059814
129,0.8230518698692322
130,0.8270012140274048
131,0.7989822030067444
132,0.8201784491539001
133,0.8242690563201904
134,0.8265659809112549
135,0.8314476609230042
136,0.8268312215805054
137,0.828655481338501
138,0.8279931545257568
139,0.8284207582473755
140,0.8321040272712708
141,0.8267435431480408
142,0.824733555316925
143,0.8251540660858154
144,0.8307828903198242
145,0.8240035176277161
146,0.8308390974998474
147,0.8255444169044495
148,0.8263847827911377
149,0.7780216336250305
150,0.7863441109657288
151,0.8047484755516052
152,0.8119726181030273
153,0.8165377974510193
154,0.8178670406341553
155,0.8214665651321411
156,0.821893572807312
157,0.8258646726608276
158,0.8252184391021729
159,0.8244877457618713
160,0.8268522620201111
161,0.8256328105926514
162,0.8297849297523499
163,0.8258891105651855
164,0.82878577709198
165,0.8288065195083618
166,0.8290864825248718
167,0.8300330638885498
168,0.830028235912323
169,0.83038729429245
170,0.8285739421844482
171,0.8308616280555725
172,0.8301849961280823
173,0.8300265073776245
174,0.8305028080940247
175,0.8301637172698975
176,0.8292281627655029
177,0.8302944898605347
178,0.8295707702636719
179,0.828508734703064
180,0.8302302956581116
181,0.828212559223175
182,0.8280970454216003
183,0.8284017443656921
184,0.8281692266464233
185,0.8287873864173889
186,0.8295029401779175
187,0.8288524746894836
188,0.8281699419021606
189,0.8281199932098389
190,0.8294788002967834
191,0.8263720273971558
192,0.8303548693656921
193,0.8260782361030579
194,0.8276748061180115
195,0.8290011882781982
196,0.8258353471755981
197,0.8318710327148438
198,0.828926682472229
199,0.8281789422035217
200,0.8298465013504028
201,0.8282516002655029
202,0.8281468152999878
203,0.8261623382568359
204,0.8282798528671265
205,0.8267881274223328
206,0.827691376209259
207,0.8292837142944336
208,0.8278108239173889
209,0.8271796107292175
210,0.8284351825714111
211,0.8293744921684265
212,0.8247902393341064
213,0.8292160630226135
214,0.8272077441215515
215,0.8272420763969421
216,0.8271516561508179
217,0.8288317918777466
218,0.8295983076095581
219,0.8279408812522888
220,0.8279641270637512
221,0.8280452489852905
222,0.8279706239700317
223,0.8301945328712463
224,0.8266057372093201
225,0.8299224972724915
226,0.8285847306251526
227,0.8304047584533691
228,0.8290226459503174
229,0.8284861445426941
230,0.8287313580513
231,0.8304723501205444
232,0.8286553621292114
233,0.8284690976142883
234,0.8293495774269104
235,0.8304368257522583
236,0.8293105959892273
237,0.8295353055000305
238,0.8294715285301208
239,0.8298152089118958
240,0.8289862871170044
241,0.8290919661521912
242,0.8288071751594543
243,0.8295857310295105
244,0.8281386494636536
245,0.8288306593894958
246,0.8289936780929565
247,0.8285310864448547
248,0.8283534646034241
249,0.829994261264801
