,DSC1
0,0.022046493366360664
1,0.05367959290742874
2,0.024569224566221237
3,0.005119181703776121
4,0.001985543640330434
5,0.0004914550809189677
6,7.183681009337306e-05
7,1.0596580068522599e-05
8,1.333222371613374e-06
9,2.772075104184868e-12
10,2.7721605393160598e-12
11,2.7721679118908327e-12
12,2.772137120549134e-12
13,2.7721264953678437e-12
14,2.7721559856669353e-12
15,2.772168562412136e-12
16,2.772168128731267e-12
17,2.772168128731267e-12
18,2.7721687792525707e-12
19,2.7721679118908327e-12
20,2.7721683455717017e-12
21,2.7721683455717017e-12
22,2.7721683455717017e-12
23,2.7721683455717017e-12
24,2.7721683455717017e-12
25,2.7721683455717017e-12
26,2.772168562412136e-12
27,2.772168128731267e-12
28,2.772168128731267e-12
29,2.772168128731267e-12
30,1.6269607385765994e-06
31,2.7721683455717017e-12
32,2.772154034103025e-12
33,2.7721258448465402e-12
34,2.151243734260788e-06
35,2.554591446823906e-06
36,2.7721486130921624e-12
37,5.794511253043311e-06
38,2.7721683455717017e-12
39,2.77214752888999e-12
40,2.7721683455717017e-12
41,2.7721282300913197e-12
42,1.9463520857243566e-06
43,2.5838480723905377e-06
44,2.772168128731267e-12
45,2.7721687792525707e-12
46,2.7721683455717017e-12
47,2.7721683455717017e-12
48,2.772168562412136e-12
49,2.7721592382734528e-12
50,4.6422260311373975e-06
51,1.6267649698420428e-06
52,2.4383848540310282e-06
53,8.765797247178853e-05
54,0.40866607427597046
55,0.5819190740585327
56,0.6139154434204102
57,0.6281565427780151
58,0.626305878162384
59,0.6179271340370178
60,0.5550246238708496
61,0.6357682943344116
62,0.6419909000396729
63,0.6513370871543884
64,0.6407932639122009
65,0.6119219660758972
66,0.6464083790779114
67,0.6591973900794983
68,0.6651844382286072
69,0.6618005037307739
70,0.664746880531311
71,0.6722217798233032
72,0.6618621349334717
73,0.5983765721321106
74,0.6101884245872498
75,0.6650885939598083
76,0.6726973652839661
77,0.6802020072937012
78,0.6829209327697754
79,0.682404637336731
80,0.6835296154022217
81,0.685239315032959
82,0.685321033000946
83,0.6869802474975586
84,0.6865912675857544
85,0.6852532029151917
86,0.6885108351707458
87,0.6848917603492737
88,0.6853386163711548
89,0.6864596009254456
90,0.6856409311294556
91,0.6865525245666504
92,0.6876636743545532
93,0.6656848192214966
94,0.6839045286178589
95,0.6880912780761719
96,0.6911535859107971
97,0.6883443593978882
98,0.6825423240661621
99,0.6842970848083496
100,0.684077799320221
101,0.6810566186904907
102,0.6857358813285828
103,0.6793326735496521
104,0.6814941167831421
105,0.6844505667686462
106,0.6855329275131226
107,0.6792303919792175
108,0.6497532725334167
109,0.6208908557891846
110,0.6615771651268005
111,0.6695461869239807
112,0.6759353876113892
113,0.6792071461677551
114,0.6820217967033386
115,0.6812052726745605
116,0.6832408905029297
117,0.6830028295516968
118,0.6827524900436401
119,0.6825938820838928
120,0.6802945733070374
121,0.683194637298584
122,0.6770873665809631
123,0.6759161353111267
124,0.6783789396286011
125,0.675531268119812
126,0.6621214747428894
127,0.6801573038101196
128,0.6766062378883362
129,0.6803799271583557
130,0.6804823279380798
131,0.6797922849655151
132,0.6539726853370667
133,0.6161872148513794
134,0.6614750027656555
135,0.6714171767234802
136,0.6731548309326172
137,0.6767519116401672
138,0.6812574863433838
139,0.6795640587806702
140,0.6820820569992065
141,0.6812469363212585
142,0.6815978288650513
143,0.6798237562179565
144,0.6810402870178223
145,0.6858848929405212
146,0.6858197450637817
147,0.6404979825019836
148,0.6627611517906189
149,0.6793947219848633
150,0.6855359077453613
151,0.6866081357002258
152,0.6877755522727966
153,0.6850985288619995
154,0.6908271312713623
155,0.6895104646682739
156,0.6871201395988464
157,0.686781644821167
158,0.6916337609291077
159,0.6875337958335876
160,0.6903060078620911
161,0.6888648271560669
162,0.6887074112892151
163,0.6899915933609009
164,0.6889983415603638
165,0.6885550618171692
166,0.6880683898925781
167,0.6887831091880798
168,0.6894584894180298
169,0.6891018152236938
170,0.6902543902397156
171,0.6905907392501831
172,0.6910662651062012
173,0.6896735429763794
174,0.6883983612060547
175,0.6902254819869995
176,0.6884700059890747
177,0.6900088787078857
178,0.6893345713615417
179,0.6900504231452942
180,0.6899152398109436
181,0.6897733807563782
182,0.6904669404029846
183,0.6884757280349731
184,0.6909989714622498
185,0.6893095374107361
186,0.6880923509597778
187,0.6899202466011047
188,0.6896770000457764
189,0.6893674731254578
190,0.6887570023536682
191,0.690161406993866
192,0.6914206743240356
193,0.6914818286895752
194,0.6927430629730225
195,0.6884877681732178
196,0.6890317797660828
197,0.6879839897155762
198,0.6924160122871399
199,0.6913737654685974
200,0.6928896903991699
201,0.6916258931159973
202,0.6924529075622559
203,0.690927267074585
204,0.6938470602035522
205,0.6913387775421143
206,0.6916346549987793
207,0.6921828985214233
208,0.6918262243270874
209,0.6942901015281677
210,0.693222165107727
211,0.6915057897567749
212,0.6928943991661072
213,0.6914324760437012
214,0.6919830441474915
215,0.6946486830711365
216,0.6950424313545227
217,0.6935322284698486
218,0.6942371726036072
219,0.6929704546928406
220,0.6952495574951172
221,0.6945779919624329
222,0.6917302012443542
