opt,name,kernal_size,lamda,sigma,dilation_level,fd
0,cardiac,3,0.0,0.001,0,0.1869135328646839
1,cardiac,3,0.0,0.001,3,0.6675447773248978
2,cardiac,3,0.0,0.001,5,0.7574114962797962
3,cardiac,3,0.0,0.001,7,0.6352669751818419
4,cardiac,3,0.0,0.001,9,0.4887029350204753
5,cardiac,3,0.0,0.001,12,0.34119565002572927
6,cardiac,3,0.0,0.001,14,0.2756869383445312
7,cardiac,3,0.1,0.001,0,0.1869135328646839
8,cardiac,3,0.1,0.001,3,0.6080613055077004
9,cardiac,3,0.1,0.001,5,0.7757864865050738
10,cardiac,3,0.1,0.001,7,0.7239262054836174
11,cardiac,3,0.1,0.001,9,0.584728615357843
12,cardiac,3,0.1,0.001,12,0.4360345208233701
13,cardiac,3,0.1,0.001,14,0.37287110110634314
14,cardiac,3,1.0,0.001,0,0.1869135328646839
15,cardiac,3,1.0,0.001,3,0.6080613055077004
16,cardiac,3,1.0,0.001,5,0.7757859949050047
17,cardiac,3,1.0,0.001,7,0.7239262054836174
18,cardiac,3,1.0,0.001,9,0.584728615357843
19,cardiac,3,1.0,0.001,12,0.4360345208233701
20,cardiac,3,1.0,0.001,14,0.37287110110634314
21,cardiac,3,2.0,0.001,0,0.1869135328646839
22,cardiac,3,2.0,0.001,3,0.6080613055077004
23,cardiac,3,2.0,0.001,5,0.7757859949050047
24,cardiac,3,2.0,0.001,7,0.7239262054836174
25,cardiac,3,2.0,0.001,9,0.584728615357843
26,cardiac,3,2.0,0.001,12,0.4360345208233701
27,cardiac,3,2.0,0.001,14,0.37287110110634314
28,cardiac,3,5.0,0.001,0,0.1869135328646839
29,cardiac,3,5.0,0.001,3,0.6080613055077004
30,cardiac,3,5.0,0.001,5,0.7757864865050738
31,cardiac,3,5.0,0.001,7,0.7239262054836174
32,cardiac,3,5.0,0.001,9,0.584728615357843
33,cardiac,3,5.0,0.001,12,0.4360345208233701
34,cardiac,3,5.0,0.001,14,0.37287110110634314
35,cardiac,3,10.0,0.001,0,0.1869135328646839
36,cardiac,3,10.0,0.001,3,0.6080613055077004
37,cardiac,3,10.0,0.001,5,0.7757864865050738
38,cardiac,3,10.0,0.001,7,0.7239262054836174
39,cardiac,3,10.0,0.001,9,0.584728615357843
40,cardiac,3,10.0,0.001,12,0.4360345208233701
41,cardiac,3,10.0,0.001,14,0.37287110110634314
42,cardiac,5,0.0,0.001,0,0.1869135328646839
43,cardiac,5,0.0,0.001,3,0.6675447773248978
44,cardiac,5,0.0,0.001,5,0.7574114962797962
45,cardiac,5,0.0,0.001,7,0.6352669751818419
46,cardiac,5,0.0,0.001,9,0.4887029350204753
47,cardiac,5,0.0,0.001,12,0.34119565002572927
48,cardiac,5,0.0,0.001,14,0.2756869383445312
49,cardiac,5,0.1,0.001,0,0.1869135328646839
50,cardiac,5,0.1,0.001,3,0.542713021906592
51,cardiac,5,0.1,0.001,5,0.7530683926022816
52,cardiac,5,0.1,0.001,7,0.78396930322929
53,cardiac,5,0.1,0.001,9,0.6849640369911998
54,cardiac,5,0.1,0.001,12,0.5460679341557372
55,cardiac,5,0.1,0.001,14,0.4796253198094919
56,cardiac,5,1.0,0.001,0,0.1869135328646839
57,cardiac,5,1.0,0.001,3,0.542713021906592
58,cardiac,5,1.0,0.001,5,0.7530683926022816
59,cardiac,5,1.0,0.001,7,0.7839717862213474
60,cardiac,5,1.0,0.001,9,0.684962631396848
61,cardiac,5,1.0,0.001,12,0.5460664908196933
62,cardiac,5,1.0,0.001,14,0.4796208403870614
63,cardiac,5,2.0,0.001,0,0.1869135328646839
64,cardiac,5,2.0,0.001,3,0.542713021906592
65,cardiac,5,2.0,0.001,5,0.7530683926022816
66,cardiac,5,2.0,0.001,7,0.7839717862213474
67,cardiac,5,2.0,0.001,9,0.684962631396848
68,cardiac,5,2.0,0.001,12,0.5460664908196933
69,cardiac,5,2.0,0.001,14,0.4796208403870614
70,cardiac,5,5.0,0.001,0,0.1869135328646839
71,cardiac,5,5.0,0.001,3,0.542713021906592
72,cardiac,5,5.0,0.001,5,0.7530683926022816
