opt,name,kernal_size,lamda,sigma,dilation_level,fd
0,prostate,3,0.0,0.001,0,0.29317607797706163
1,prostate,3,0.0,0.001,3,0.6770025145904832
2,prostate,3,0.0,0.001,5,0.8513409319307439
3,prostate,3,0.0,0.001,7,0.8015674863690674
4,prostate,3,0.0,0.001,9,0.6883796718358589
5,prostate,3,0.0,0.001,12,0.5361163659276773
6,prostate,3,0.0,0.001,14,0.45644296366613496
7,prostate,3,0.1,0.001,0,0.29317607797706163
8,prostate,3,0.1,0.001,3,0.6225200233798477
9,prostate,3,0.1,0.001,5,0.799876769972044
10,prostate,3,0.1,0.001,7,0.7974975097925602
11,prostate,3,0.1,0.001,9,0.70690177707951
12,prostate,3,0.1,0.001,12,0.5707002683162424
13,prostate,3,0.1,0.001,14,0.49416011601568566
14,prostate,3,1.0,0.001,0,0.29317607797706163
15,prostate,3,1.0,0.001,3,0.6225200233798477
16,prostate,3,1.0,0.001,5,0.799876769972044
17,prostate,3,1.0,0.001,7,0.7974975097925602
18,prostate,3,1.0,0.001,9,0.70690177707951
19,prostate,3,1.0,0.001,12,0.5707002683162424
20,prostate,3,1.0,0.001,14,0.49416011601568566
21,prostate,3,2.0,0.001,0,0.29317607797706163
22,prostate,3,2.0,0.001,3,0.6225200233798477
23,prostate,3,2.0,0.001,5,0.799876769972044
24,prostate,3,2.0,0.001,7,0.7974975097925602
25,prostate,3,2.0,0.001,9,0.70690177707951
26,prostate,3,2.0,0.001,12,0.5707002683162424
27,prostate,3,2.0,0.001,14,0.49416011601568566
28,prostate,3,5.0,0.001,0,0.29317607797706163
29,prostate,3,5.0,0.001,3,0.6225200233798477
30,prostate,3,5.0,0.001,5,0.799876769972044
31,prostate,3,5.0,0.001,7,0.7974975097925602
32,prostate,3,5.0,0.001,9,0.70690177707951
33,prostate,3,5.0,0.001,12,0.5707002683162424
34,prostate,3,5.0,0.001,14,0.49416011601568566
35,prostate,3,10.0,0.001,0,0.29317607797706163
36,prostate,3,10.0,0.001,3,0.6225200233798477
37,prostate,3,10.0,0.001,5,0.799876769972044
38,prostate,3,10.0,0.001,7,0.7974975097925602
39,prostate,3,10.0,0.001,9,0.70690177707951
40,prostate,3,10.0,0.001,12,0.5707002683162424
41,prostate,3,10.0,0.001,14,0.49416011601568566
42,prostate,5,0.0,0.001,0,0.29317607797706163
43,prostate,5,0.0,0.001,3,0.6770025145904832
44,prostate,5,0.0,0.001,5,0.8513409319307439
45,prostate,5,0.0,0.001,7,0.8015674863690674
46,prostate,5,0.0,0.001,9,0.6883796718358589
