opt,name,kernal_size,lamda,sigma,dilation_level,fd
0,prostate,3,0.0,0.0001,4,0.7775392969853375
1,prostate,3,0.0,0.0001,5,0.8513409319307439
2,prostate,3,0.0,0.0001,6,0.8434533667821527
3,prostate,3,0.0,0.0001,7,0.8015674863690674
4,prostate,3,0.1,0.0001,4,0.7657488826435879
5,prostate,3,0.1,0.0001,5,0.8417439796758892
6,prostate,3,0.1,0.0001,6,0.8417977840494892
7,prostate,3,0.1,0.0001,7,0.8041841335058164
8,prostate,3,1.0,0.0001,4,0.7657488826435879
9,prostate,3,1.0,0.0001,5,0.8417439796758892
10,prostate,3,1.0,0.0001,6,0.8417977840494892
11,prostate,3,1.0,0.0001,7,0.8041841335058164
12,prostate,3,2.0,0.0001,4,0.7657488826435879
13,prostate,3,2.0,0.0001,5,0.8417439796758892
14,prostate,3,2.0,0.0001,6,0.8417977840494892
15,prostate,3,2.0,0.0001,7,0.8041841335058164
16,prostate,3,5.0,0.0001,4,0.7657488826435879
17,prostate,3,5.0,0.0001,5,0.8417439796758892
18,prostate,3,5.0,0.0001,6,0.8417977840494892
19,prostate,3,5.0,0.0001,7,0.8041841335058164
20,prostate,3,10.0,0.0001,4,0.7657488826435879
21,prostate,3,10.0,0.0001,5,0.8417439796758892
22,prostate,3,10.0,0.0001,6,0.8417977840494892
23,prostate,3,10.0,0.0001,7,0.8041841335058164
24,prostate,3,0.0,0.0005,4,0.7775392969853375
25,prostate,3,0.0,0.0005,5,0.8513409319307439
26,prostate,3,0.0,0.0005,6,0.8434533667821527
27,prostate,3,0.0,0.0005,7,0.8015674863690674
28,prostate,3,0.1,0.0005,4,0.7492140843855774
29,prostate,3,0.1,0.0005,5,0.8278176155073714
30,prostate,3,0.1,0.0005,6,0.8365405737794223
31,prostate,3,0.1,0.0005,7,0.8052964009645764
32,prostate,3,1.0,0.0005,4,0.7492140843855774
33,prostate,3,1.0,0.0005,5,0.8278176155073714
34,prostate,3,1.0,0.0005,6,0.8365405737794223
35,prostate,3,1.0,0.0005,7,0.8052964009645764
36,prostate,3,2.0,0.0005,4,0.7492140843855774
37,prostate,3,2.0,0.0005,5,0.8278176155073714
38,prostate,3,2.0,0.0005,6,0.8365405737794223
39,prostate,3,2.0,0.0005,7,0.8052964009645764
40,prostate,3,5.0,0.0005,4,0.7492140843855774
41,prostate,3,5.0,0.0005,5,0.8278176155073714
42,prostate,3,5.0,0.0005,6,0.8365405737794223
43,prostate,3,5.0,0.0005,7,0.8052964009645764
44,prostate,3,10.0,0.0005,4,0.7492140843855774
45,prostate,3,10.0,0.0005,5,0.8278176155073714
46,prostate,3,10.0,0.0005,6,0.8365405737794223
47,prostate,3,10.0,0.0005,7,0.8052964009645764
48,prostate,3,0.0,0.001,4,0.7775392969853375
49,prostate,3,0.0,0.001,5,0.8513409319307439
50,prostate,3,0.0,0.001,6,0.8434533667821527
51,prostate,3,0.0,0.001,7,0.8015674863690674
52,prostate,3,0.1,0.001,4,0.7212322531421456
53,prostate,3,0.1,0.001,5,0.799876769972044
54,prostate,3,0.1,0.001,6,0.8187885217257697
55,prostate,3,0.1,0.001,7,0.7974975097925602
56,prostate,3,1.0,0.001,4,0.7212322531421456
57,prostate,3,1.0,0.001,5,0.799876769972044
58,prostate,3,1.0,0.001,6,0.8187885217257697
59,prostate,3,1.0,0.001,7,0.7974975097925602
60,prostate,3,2.0,0.001,4,0.7212322531421456
61,prostate,3,2.0,0.001,5,0.799876769972044
62,prostate,3,2.0,0.001,6,0.8187885217257697
63,prostate,3,2.0,0.001,7,0.7974975097925602
64,prostate,3,5.0,0.001,4,0.7212322531421456
65,prostate,3,5.0,0.001,5,0.799876769972044
66,prostate,3,5.0,0.001,6,0.8187885217257697
67,prostate,3,5.0,0.001,7,0.7974975097925602
68,prostate,3,10.0,0.001,4,0.7212322531421456
69,prostate,3,10.0,0.001,5,0.799876769972044
70,prostate,3,10.0,0.001,6,0.8187885217257697
71,prostate,3,10.0,0.001,7,0.7974975097925602
72,prostate,3,0.0,0.005,4,0.7775392969853375
73,prostate,3,0.0,0.005,5,0.8513409319307439
74,prostate,3,0.0,0.005,6,0.8434533667821527
75,prostate,3,0.0,0.005,7,0.8015674863690674
76,prostate,3,0.1,0.005,4,0.5371244886705245
77,prostate,3,0.1,0.005,5,0.5934932606829734
78,prostate,3,0.1,0.005,6,0.6403078646077079
79,prostate,3,0.1,0.005,7,0.667384635085209
80,prostate,3,1.0,0.005,4,0.5332154653543866
81,prostate,3,1.0,0.005,5,0.5888864874016311
82,prostate,3,1.0,0.005,6,0.636111436340736
83,prostate,3,1.0,0.005,7,0.6654819245693953
84,prostate,3,2.0,0.005,4,0.5332154653543866
85,prostate,3,2.0,0.005,5,0.5888864874016311
86,prostate,3,2.0,0.005,6,0.636111436340736
87,prostate,3,2.0,0.005,7,0.6654819245693953
88,prostate,3,5.0,0.005,4,0.5331892138425559
89,prostate,3,5.0,0.005,5,0.5889132309560705
90,prostate,3,5.0,0.005,6,0.6361054749507168
91,prostate,3,5.0,0.005,7,0.6655182718404696
92,prostate,3,10.0,0.005,4,0.5331892138425559
93,prostate,3,10.0,0.005,5,0.5889132309560705
94,prostate,3,10.0,0.005,6,0.6361054749507168
95,prostate,3,10.0,0.005,7,0.6655182718404696
96,prostate,3,0.0,0.01,4,0.7775392969853375
97,prostate,3,0.0,0.01,5,0.8513409319307439
98,prostate,3,0.0,0.01,6,0.8434533667821527
99,prostate,3,0.0,0.01,7,0.8015674863690674
100,prostate,3,0.1,0.01,4,0.517450906470962
101,prostate,3,0.1,0.01,5,0.5703784510011345
102,prostate,3,0.1,0.01,6,0.6215180525521009
103,prostate,3,0.1,0.01,7,0.6571376892589367
104,prostate,3,1.0,0.01,4,0.517308630086702
105,prostate,3,1.0,0.01,5,0.5701670994971167
106,prostate,3,1.0,0.01,6,0.6213471427797173
107,prostate,3,1.0,0.01,7,0.6571269298217758
108,prostate,3,2.0,0.01,4,0.517308630086702
109,prostate,3,2.0,0.01,5,0.5701670994971167
110,prostate,3,2.0,0.01,6,0.6213471427797173
111,prostate,3,2.0,0.01,7,0.6571269298217758
112,prostate,3,5.0,0.01,4,0.5173097729050609
113,prostate,3,5.0,0.01,5,0.5701645957393678
114,prostate,3,5.0,0.01,6,0.6213451138044327
115,prostate,3,5.0,0.01,7,0.6571245995593535
116,prostate,3,10.0,0.01,4,0.5173097729050609
117,prostate,3,10.0,0.01,5,0.5701645957393678
118,prostate,3,10.0,0.01,6,0.6213451138044327
119,prostate,3,10.0,0.01,7,0.6571245995593535
120,prostate,3,0.0,0.02,4,0.7775392969853375
121,prostate,3,0.0,0.02,5,0.8513409319307439
122,prostate,3,0.0,0.02,6,0.8434533667821527
123,prostate,3,0.0,0.02,7,0.8015674863690674
124,prostate,3,0.1,0.02,4,0.5020044743480712
125,prostate,3,0.1,0.02,5,0.5512060862341738
126,prostate,3,0.1,0.02,6,0.6008826222317064
127,prostate,3,0.1,0.02,7,0.6338594258607804
128,prostate,3,1.0,0.02,4,0.5020023013172307
129,prostate,3,1.0,0.02,5,0.5512059180136711
130,prostate,3,1.0,0.02,6,0.6008852342256372
131,prostate,3,1.0,0.02,7,0.6338692815661009
132,prostate,3,2.0,0.02,4,0.5020023013172307
133,prostate,3,2.0,0.02,5,0.5512059180136711
134,prostate,3,2.0,0.02,6,0.6008852342256372
135,prostate,3,2.0,0.02,7,0.6338692815661009
136,prostate,3,5.0,0.02,4,0.5020034898339122
