opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
3,prostate,3,0,100,9,0.821180217,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_9,0.458471518
23,prostate,5,0,100,9,0.821180217,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_9,0.458471518
43,prostate,3,0,10,9,0.821180217,name_prostate_kernal_size_3_lamda_0.0_sigma_10.0_dilation_level_9,0.458471518
63,prostate,5,0,10,9,0.821180217,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_9,0.458471518
83,prostate,3,0,1,9,0.821180217,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_9,0.458471518
103,prostate,5,0,1,9,0.821180217,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_9,0.458471518
123,prostate,3,0,0.1,9,0.821180217,name_prostate_kernal_size_3_lamda_0.0_sigma_0.1_dilation_level_9,0.458471518
143,prostate,5,0,0.1,9,0.821180217,name_prostate_kernal_size_5_lamda_0.0_sigma_0.1_dilation_level_9,0.458471518
163,prostate,3,0,0.01,9,0.821180217,name_prostate_kernal_size_3_lamda_0.0_sigma_0.01_dilation_level_9,0.458471518
183,prostate,5,0,0.01,9,0.821180217,name_prostate_kernal_size_5_lamda_0.0_sigma_0.01_dilation_level_9,0.458471518
203,prostate,3,0,0.001,9,0.821180217,name_prostate_kernal_size_3_lamda_0.0_sigma_0.001_dilation_level_9,0.458471518
223,prostate,5,0,0.001,9,0.821180217,name_prostate_kernal_size_5_lamda_0.0_sigma_0.001_dilation_level_9,0.458471518
4,prostate,3,0,100,11,0.819691387,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_11,0.458471518
24,prostate,5,0,100,11,0.819691387,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_11,0.458471518
44,prostate,3,0,10,11,0.819691387,name_prostate_kernal_size_3_lamda_0.0_sigma_10.0_dilation_level_11,0.458471518
64,prostate,5,0,10,11,0.819691387,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_11,0.458471518
84,prostate,3,0,1,11,0.819691387,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_11,0.458471518
104,prostate,5,0,1,11,0.819691387,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_11,0.458471518
124,prostate,3,0,0.1,11,0.819691387,name_prostate_kernal_size_3_lamda_0.0_sigma_0.1_dilation_level_11,0.458471518
144,prostate,5,0,0.1,11,0.819691387,name_prostate_kernal_size_5_lamda_0.0_sigma_0.1_dilation_level_11,0.458471518
164,prostate,3,0,0.01,11,0.819691387,name_prostate_kernal_size_3_lamda_0.0_sigma_0.01_dilation_level_11,0.458471518
184,prostate,5,0,0.01,11,0.819691387,name_prostate_kernal_size_5_lamda_0.0_sigma_0.01_dilation_level_11,0.458471518
204,prostate,3,0,0.001,11,0.819691387,name_prostate_kernal_size_3_lamda_0.0_sigma_0.001_dilation_level_11,0.458471518
224,prostate,5,0,0.001,11,0.819691387,name_prostate_kernal_size_5_lamda_0.0_sigma_0.001_dilation_level_11,0.458471518
209,prostate,3,0.01,0.001,11,0.803979561,name_prostate_kernal_size_3_lamda_0.01_sigma_0.001_dilation_level_11,0.458471518
