opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
0,prostate,3,0.0,100.0,5,0.7182339180630348,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_5,0.45847151791175345
1,prostate,3,0.0,100.0,6,0.7579382396948425,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_6,0.45847151791175345
2,prostate,3,0.0,100.0,7,0.7885533701283061,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_7,0.45847151791175345
3,prostate,3,0.0,100.0,9,0.8211802169103894,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_9,0.45847151791175345
4,prostate,3,0.0,100.0,11,0.8196913868453408,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_11,0.45847151791175345
5,prostate,3,0.01,100.0,5,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_5,0.45847151791175345
6,prostate,3,0.01,100.0,6,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_6,0.45847151791175345
7,prostate,3,0.01,100.0,7,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_7,0.45847151791175345
8,prostate,3,0.01,100.0,9,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_9,0.45847151791175345
9,prostate,3,0.01,100.0,11,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_11,0.45847151791175345
10,prostate,3,0.1,100.0,5,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_5,0.45847151791175345
11,prostate,3,0.1,100.0,6,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_6,0.45847151791175345
12,prostate,3,0.1,100.0,7,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_7,0.45847151791175345
13,prostate,3,0.1,100.0,9,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_9,0.45847151791175345
14,prostate,3,0.1,100.0,11,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_11,0.45847151791175345
15,prostate,3,1.0,100.0,5,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_5,0.45847151791175345
16,prostate,3,1.0,100.0,6,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_6,0.45847151791175345
17,prostate,3,1.0,100.0,7,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_7,0.45847151791175345
18,prostate,3,1.0,100.0,9,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_9,0.45847151791175345
19,prostate,3,1.0,100.0,11,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_11,0.45847151791175345
20,prostate,5,0.0,100.0,5,0.7182339180630348,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_5,0.45847151791175345
21,prostate,5,0.0,100.0,6,0.7579382396948425,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_6,0.45847151791175345
22,prostate,5,0.0,100.0,7,0.7885533701283061,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_7,0.45847151791175345
23,prostate,5,0.0,100.0,9,0.8211802169103894,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_9,0.45847151791175345
24,prostate,5,0.0,100.0,11,0.8196913868453408,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_11,0.45847151791175345
25,prostate,5,0.01,100.0,5,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_5,0.45847151791175345
26,prostate,5,0.01,100.0,6,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_6,0.45847151791175345
27,prostate,5,0.01,100.0,7,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_100.0_dilation_level_7,0.45847151791175345
