opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
0,prostate,3,0,100,5,0.950882114,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_5,0.60919664
12,prostate,5,0,100,5,0.950882114,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_5,0.60919664
24,prostate,3,0,10,5,0.950882114,name_prostate_kernal_size_3_lamda_0.0_sigma_10.0_dilation_level_5,0.60919664
36,prostate,5,0,10,5,0.950882114,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_5,0.60919664
48,prostate,3,0,1,5,0.950882114,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_5,0.60919664
60,prostate,5,0,1,5,0.950882114,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_5,0.60919664
72,prostate,3,0,0.1,5,0.950882114,name_prostate_kernal_size_3_lamda_0.0_sigma_0.1_dilation_level_5,0.60919664
84,prostate,5,0,0.1,5,0.950882114,name_prostate_kernal_size_5_lamda_0.0_sigma_0.1_dilation_level_5,0.60919664
96,prostate,3,0,0.01,5,0.950882114,name_prostate_kernal_size_3_lamda_0.0_sigma_0.01_dilation_level_5,0.60919664
108,prostate,5,0,0.01,5,0.950882114,name_prostate_kernal_size_5_lamda_0.0_sigma_0.01_dilation_level_5,0.60919664
120,prostate,3,0,0.001,5,0.950882114,name_prostate_kernal_size_3_lamda_0.0_sigma_0.001_dilation_level_5,0.60919664
132,prostate,5,0,0.001,5,0.950882114,name_prostate_kernal_size_5_lamda_0.0_sigma_0.001_dilation_level_5,0.60919664
1,prostate,3,0,100,6,0.935192616,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_6,0.60919664
13,prostate,5,0,100,6,0.935192616,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_6,0.60919664
25,prostate,3,0,10,6,0.935192616,name_prostate_kernal_size_3_lamda_0.0_sigma_10.0_dilation_level_6,0.60919664
37,prostate,5,0,10,6,0.935192616,name_prostate_kernal_size_5_lamda_0.0_sigma_10.0_dilation_level_6,0.60919664
49,prostate,3,0,1,6,0.935192616,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_6,0.60919664
61,prostate,5,0,1,6,0.935192616,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_6,0.60919664
73,prostate,3,0,0.1,6,0.935192616,name_prostate_kernal_size_3_lamda_0.0_sigma_0.1_dilation_level_6,0.60919664
85,prostate,5,0,0.1,6,0.935192616,name_prostate_kernal_size_5_lamda_0.0_sigma_0.1_dilation_level_6,0.60919664
97,prostate,3,0,0.01,6,0.935192616,name_prostate_kernal_size_3_lamda_0.0_sigma_0.01_dilation_level_6,0.60919664
109,prostate,5,0,0.01,6,0.935192616,name_prostate_kernal_size_5_lamda_0.0_sigma_0.01_dilation_level_6,0.60919664
121,prostate,3,0,0.001,6,0.935192616,name_prostate_kernal_size_3_lamda_0.0_sigma_0.001_dilation_level_6,0.60919664
133,prostate,5,0,0.001,6,0.935192616,name_prostate_kernal_size_5_lamda_0.0_sigma_0.001_dilation_level_6,0.60919664
124,prostate,3,0.01,0.001,6,0.921204128,name_prostate_kernal_size_3_lamda_0.01_sigma_0.001_dilation_level_6,0.60919664
127,prostate,3,0.1,0.001,6,0.921204128,name_prostate_kernal_size_3_lamda_0.1_sigma_0.001_dilation_level_6,0.60919664
130,prostate,3,1,0.001,6,0.921204128,name_prostate_kernal_size_3_lamda_1.0_sigma_0.001_dilation_level_6,0.60919664
123,prostate,3,0.01,0.001,5,0.913444237,name_prostate_kernal_size_3_lamda_0.01_sigma_0.001_dilation_level_5,0.60919664
