opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
0,prostate,3,0.0,100.0,5,0.9508821144684315,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_5,0.6091966398909155
1,prostate,3,0.0,100.0,6,0.9351926164381825,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_6,0.6091966398909155
2,prostate,3,0.0,100.0,7,0.9005858096259737,name_prostate_kernal_size_3_lamda_0.0_sigma_100.0_dilation_level_7,0.6091966398909155
3,prostate,3,0.01,100.0,5,0.6204086451467858,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_5,0.6091966398909155
4,prostate,3,0.01,100.0,6,0.6204559795939598,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_6,0.6091966398909155
5,prostate,3,0.01,100.0,7,0.6205027706005488,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_7,0.6091966398909155
6,prostate,3,0.1,100.0,5,0.6203876745516753,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_5,0.6091966398909155
7,prostate,3,0.1,100.0,6,0.6204350089988493,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_6,0.6091966398909155
8,prostate,3,0.1,100.0,7,0.6204818000054383,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_7,0.6091966398909155
9,prostate,3,1.0,100.0,5,0.6203736813276285,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_5,0.6091966398909155
10,prostate,3,1.0,100.0,6,0.6204210157748025,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_6,0.6091966398909155
11,prostate,3,1.0,100.0,7,0.6204678067813916,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_7,0.6091966398909155
12,prostate,5,0.0,100.0,5,0.9508821144684315,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_5,0.6091966398909155
13,prostate,5,0.0,100.0,6,0.9351926164381825,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_6,0.6091966398909155
14,prostate,5,0.0,100.0,7,0.9005858096259737,name_prostate_kernal_size_5_lamda_0.0_sigma_100.0_dilation_level_7,0.6091966398909155
